,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,median_home_value,state,county,TRACTCE,year,owner_renter_ratio
109,1400000US48029130600,18440,1909,3176,54900.0,48,029,130600,2012,0.6010705289672544
110,1400000US48029140200,29674,2075,870,74800.0,48,029,140200,2012,2.3850574712643677
111,1400000US48029181718,65200,3932,933,131500.0,48,029,181718,2012,4.214362272240086
112,1400000US48029181811,75150,3056,1104,159300.0,48,029,181811,2012,2.7681159420289854
113,1400000US48029190200,36277,2520,1706,176200.0,48,029,190200,2012,1.477139507620164
114,1400000US48029190501,37993,1964,829,85900.0,48,029,190501,2012,2.3691194209891435
115,1400000US48029171902,34129,3186,5893,133700.0,48,029,171902,2012,0.5406414389954183
116,1400000US48029180400,24838,1245,2602,97800.0,48,029,180400,2012,0.47847809377402
117,1400000US48029180701,36645,1381,2324,262000.0,48,029,180701,2012,0.5942340791738382
118,1400000US48029181100,58692,3637,2588,162000.0,48,029,181100,2012,1.4053323029366307
119,1400000US48029191405,68222,5406,2515,194500.0,48,029,191405,2012,2.149502982107356
120,1400000US48029170900,17329,2285,1308,57600.0,48,029,170900,2012,1.746941896024465
121,1400000US48029180503,44191,3955,520,90000.0,48,029,180503,2012,7.605769230769231
122,1400000US48029180602,28667,1599,1001,123100.0,48,029,180602,2012,1.5974025974025974
123,1400000US48029191102,62090,2082,523,260200.0,48,029,191102,2012,3.980879541108987
124,1400000US48029110900,14353,222,174,67000.0,48,029,110900,2012,1.2758620689655173
125,1400000US48029111000,22157,582,949,69700.0,48,029,111000,2012,0.613277133825079
126,1400000US48029131612,55014,1744,178,132800.0,48,029,131612,2012,9.797752808988765
127,1400000US48029131613,58777,4609,697,127800.0,48,029,131613,2012,6.612625538020086
128,1400000US48029190800,106250,1804,318,635800.0,48,029,190800,2012,5.672955974842767
129,1400000US48029190901,35971,2518,2766,118400.0,48,029,190901,2012,0.9103398409255242
130,1400000US48029150900,36693,4716,1035,70500.0,48,029,150900,2012,4.556521739130435
131,1400000US48029131614,58278,3194,758,133800.0,48,029,131614,2012,4.213720316622691
132,1400000US48029131615,55263,4441,2345,130400.0,48,029,131615,2012,1.893816631130064
133,1400000US48029131801,73510,2351,160,151800.0,48,029,131801,2012,14.69375
134,1400000US48029131802,59032,4638,1092,141300.0,48,029,131802,2012,4.247252747252747
135,1400000US48029191411,62401,2068,2049,271600.0,48,029,191411,2012,1.0092728160078086
136,1400000US48029191412,166429,1992,121,368700.0,48,029,191412,2012,16.462809917355372
137,1400000US48029191413,64932,3990,2270,219000.0,48,029,191413,2012,1.7577092511013215
138,1400000US48029191503,77420,3477,1342,200000.0,48,029,191503,2012,2.590909090909091
139,1400000US48029191504,185250,2512,38,582400.0,48,029,191504,2012,66.10526315789474
140,1400000US48029191505,139405,2195,27,364700.0,48,029,191505,2012,81.29629629629629
141,1400000US48029191506,65483,2457,1893,272400.0,48,029,191506,2012,1.2979397781299524
