,GEO_ID,B19013_001E,B25008_002E,B25008_003E,B25077_001E,state,county,tract,year
277,1400000US48029181713,61672,4998,2530,132000,48,029,181713,2012
278,1400000US48029181505,59077,3459,1160,129500,48,029,181505,2012
279,1400000US48029181704,55514,4797,1140,106400,48,029,181704,2012
280,1400000US48029181711,76866,6736,1012,142300,48,029,181711,2012
281,1400000US48029161000,25325,1487,2212,55200,48,029,161000,2012
282,1400000US48029161501,34805,3682,3650,76700,48,029,161501,2012
283,1400000US48029162001,38846,2213,408,77500,48,029,162001,2012
284,1400000US48029170102,31622,2267,1945,48000,48,029,170102,2012
285,1400000US48029171100,19844,2533,904,62400,48,029,171100,2012
286,1400000US48029180702,35576,2174,4230,134100,48,029,180702,2012
287,1400000US48029180901,46487,3692,1682,92900,48,029,180901,2012
288,1400000US48029181303,27808,239,2735,169100,48,029,181303,2012
289,1400000US48029181504,32379,1663,4205,136300,48,029,181504,2012
290,1400000US48029181601,44457,1674,1445,104200,48,029,181601,2012
291,1400000US48029181705,47308,2690,2177,130600,48,029,181705,2012
292,1400000US48029151200,39898,6158,3246,76900,48,029,151200,2012
293,1400000US48029110700,21523,406,1617,92100,48,029,110700,2012
294,1400000US48029190400,66989,1451,622,379100,48,029,190400,2012
295,1400000US48029121108,48780,4333,2727,176800,48,029,121108,2012
296,1400000US48029150800,17055,766,1977,75600,48,029,150800,2012
297,1400000US48029171200,29444,2693,1303,57400,48,029,171200,2012
298,1400000US48029141800,36719,3482,1264,79400,48,029,141800,2012
299,1400000US48029171912,74486,5112,957,146400,48,029,171912,2012
300,1400000US48029181712,58892,2825,889,133100,48,029,181712,2012
301,1400000US48029181602,36800,2998,3076,108900,48,029,181602,2012
302,1400000US48029121505,54094,3485,1173,102800,48,029,121505,2012
303,1400000US48029140300,34193,2063,1328,59400,48,029,140300,2012
304,1400000US48029152000,38664,401,1039,141400,48,029,152000,2012
305,1400000US48029170101,30478,2542,1299,51300,48,029,170101,2012
306,1400000US48029171802,30106,2896,3233,62400,48,029,171802,2012
307,1400000US48029120702,69783,2507,1898,299100,48,029,120702,2012
308,1400000US48029121300,60248,4315,1580,155500,48,029,121300,2012
309,1400000US48029121501,64315,5742,1681,133900,48,029,121501,2012
310,1400000US48029121507,53085,3210,1291,99600,48,029,121507,2012
311,1400000US48029131200,29426,1720,1283,74100,48,029,131200,2012
312,1400000US48029140100,35313,739,990,75200,48,029,140100,2012
313,1400000US48029140400,33408,2153,1757,75400,48,029,140400,2012
314,1400000US48029141600,55036,4157,445,107300,48,029,141600,2012
315,1400000US48029150400,25949,2485,1956,64400,48,029,150400,2012
316,1400000US48029151000,25300,2192,1297,72900,48,029,151000,2012
317,1400000US48029152100,43286,4325,1205,72100,48,029,152100,2012
318,1400000US48029181503,45738,1723,4935,136800,48,029,181503,2012
319,1400000US48029181703,71141,5347,1597,172000,48,029,181703,2012
320,1400000US48029180300,32216,2233,1509,86100,48,029,180300,2012
321,1400000US48029181716,44716,4506,2557,92800,48,029,181716,2012
322,1400000US48029191003,31489,2824,4373,92100,48,029,191003,2012
323,1400000US48029181727,56422,1831,1738,123200,48,029,181727,2012
324,1400000US48029181728,60465,7153,2571,122000,48,029,181728,2012
325,1400000US48029121404,22487,2669,2352,64900,48,029,121404,2012
326,1400000US48029181729,78972,3164,510,159300,48,029,181729,2012
327,1400000US48029181730,51886,3190,1274,118700,48,029,181730,2012
328,1400000US48029181731,59533,5305,1160,120300,48,029,181731,2012
329,1400000US48029181813,44478,1604,4064,191400,48,029,181813,2012
330,1400000US48029181814,55507,1577,1479,177300,48,029,181814,2012
331,1400000US48029181816,80169,4019,298,164900,48,029,181816,2012
332,1400000US48029181815,50689,1949,1558,173300,48,029,181815,2012
333,1400000US48029181817,54946,2374,1047,154900,48,029,181817,2012
334,1400000US48029181818,49673,2109,2654,150900,48,029,181818,2012
335,1400000US48029181819,73792,3142,2536,166400,48,029,181819,2012
336,1400000US48029181820,9784,606,3541,250900,48,029,181820,2012
337,1400000US48029181821,67049,2341,640,141400,48,029,181821,2012
338,1400000US48029181822,73481,3307,1852,142300,48,029,181822,2012
339,1400000US48029181824,82260,4611,663,149500,48,029,181824,2012
340,1400000US48029181825,80778,2079,1001,209400,48,029,181825,2012
341,1400000US48029181826,85064,5864,798,147700,48,029,181826,2012
342,1400000US48029181823,54471,1436,1170,156600,48,029,181823,2012
343,1400000US48029181901,33085,781,2697,283900,48,029,181901,2012
344,1400000US48029181902,142847,5252,499,340200,48,029,181902,2012
345,1400000US48029182001,89234,4008,1030,203700,48,029,182001,2012
346,1400000US48029182002,116765,8056,1205,299400,48,029,182002,2012
347,1400000US48029182003,82589,2423,648,238000,48,029,182003,2012
348,1400000US48029182105,101875,1991,100,282700,48,029,182105,2012
349,1400000US48029182106,115104,5758,142,302900,48,029,182106,2012
350,1400000US48029190503,40036,1713,1623,111300,48,029,190503,2012
351,1400000US48029190504,37301,1655,943,76400,48,029,190504,2012
352,1400000US48029190603,42722,1972,1094,80000,48,029,190603,2012
353,1400000US48029191005,31625,1334,647,66800,48,029,191005,2012
354,1400000US48029191006,37455,4474,2202,71800,48,029,191006,2012
355,1400000US48029160702,24825,2291,3022,68700,48,029,160702,2012
356,1400000US48029161600,42683,2373,2219,70900,48,029,161600,2012
357,1400000US48029170200,20189,2886,2707,62600,48,029,170200,2012
358,1400000US48029131601,62620,1454,624,162200,48,029,131601,2012
359,1400000US48029131700,77500,0,955,-666666666,48,029,131700,2012
360,1400000US48029141200,37384,4233,2897,68500,48,029,141200,2012
361,1400000US48029150100,28920,3257,1793,62400,48,029,150100,2012
362,1400000US48029150600,31516,2818,1403,70600,48,029,150600,2012
363,1400000US48029151100,37986,5052,2158,72800,48,029,151100,2012
364,1400000US48029151400,32650,2711,1545,71900,48,029,151400,2012
365,1400000US48029172002,63851,6052,1864,165100,48,029,172002,2012
366,1400000US48029181705,48295,2780,2212,127800,48,029,181705,2013
367,1400000US48029151200,36486,6282,3395,74900,48,029,151200,2013
368,1400000US48029110700,19038,405,1499,91900,48,029,110700,2013
369,1400000US48029190400,74948,1459,713,414200,48,029,190400,2013
370,1400000US48029121108,52980,4252,2862,174400,48,029,121108,2013
371,1400000US48029150800,15500,468,2615,49300,48,029,150800,2013
372,1400000US48029171200,30106,2685,1471,56700,48,029,171200,2013
373,1400000US48029141800,42577,3311,1171,83400,48,029,141800,2013
374,1400000US48029171912,81701,5151,1010,157600,48,029,171912,2013
375,1400000US48029181712,75461,3040,633,136300,48,029,181712,2013
376,1400000US48029181602,38533,3156,2985,100400,48,029,181602,2013
377,1400000US48029121505,57297,3507,953,105200,48,029,121505,2013
378,1400000US48029140300,30750,2105,1319,59300,48,029,140300,2013
379,1400000US48029152000,40781,515,1290,152600,48,029,152000,2013
380,1400000US48029170101,30625,2214,1662,50700,48,029,170101,2013
381,1400000US48029171802,30609,2501,3804,60300,48,029,171802,2013
382,1400000US48029160702,24420,2093,2717,66500,48,029,160702,2013
383,1400000US48029161600,39931,2448,2450,76300,48,029,161600,2013
384,1400000US48029170200,20400,2451,3125,61500,48,029,170200,2013
385,1400000US48029131601,56510,1386,764,162300,48,029,131601,2013
386,1400000US48029131700,91875,10,1063,-666666666,48,029,131700,2013
387,1400000US48029141200,34213,3821,2707,70900,48,029,141200,2013
388,1400000US48029150100,29704,3238,1974,63700,48,029,150100,2013
389,1400000US48029150600,28977,2812,1677,69100,48,029,150600,2013
390,1400000US48029151100,38185,5193,1745,74400,48,029,151100,2013
391,1400000US48029151400,33979,2757,1737,80600,48,029,151400,2013
392,1400000US48029172002,64794,6269,2143,163400,48,029,172002,2013
393,1400000US48029181727,54219,1802,1698,121500,48,029,181727,2013
394,1400000US48029181728,65560,7121,3967,130600,48,029,181728,2013
395,1400000US48029181729,81269,3750,272,160800,48,029,181729,2013
396,1400000US48029181730,52500,2811,1296,116100,48,029,181730,2013
397,1400000US48029181731,57733,5793,846,124200,48,029,181731,2013
398,1400000US48029181813,45771,1355,4611,189400,48,029,181813,2013
399,1400000US48029181814,54357,1703,1834,163000,48,029,181814,2013
400,1400000US48029181816,87933,4174,316,159400,48,029,181816,2013
401,1400000US48029181815,72593,1890,1651,171300,48,029,181815,2013
402,1400000US48029181817,68177,2504,1048,158800,48,029,181817,2013
403,1400000US48029181818,48910,2428,2465,152500,48,029,181818,2013
404,1400000US48029181819,74036,3074,2823,167600,48,029,181819,2013
405,1400000US48029181820,20098,752,3368,235100,48,029,181820,2013
406,1400000US48029181821,59866,2249,830,144300,48,029,181821,2013
407,1400000US48029181822,70327,3253,1762,141600,48,029,181822,2013
408,1400000US48029181824,82404,4598,805,151800,48,029,181824,2013
409,1400000US48029181825,81938,2157,1044,205500,48,029,181825,2013
410,1400000US48029181826,87663,5639,740,151200,48,029,181826,2013
411,1400000US48029181823,64314,1508,1198,161100,48,029,181823,2013
412,1400000US48029181901,36709,840,2778,294600,48,029,181901,2013
413,1400000US48029181902,146345,5583,408,359500,48,029,181902,2013
414,1400000US48029182001,88815,3952,1069,199800,48,029,182001,2013
415,1400000US48029182002,116834,8066,1166,300600,48,029,182002,2013
416,1400000US48029182003,97577,2673,824,259500,48,029,182003,2013
417,1400000US48029182105,110500,2298,134,281900,48,029,182105,2013
418,1400000US48029182106,113028,6017,178,285100,48,029,182106,2013
419,1400000US48029190503,30774,1914,1463,106700,48,029,190503,2013
420,1400000US48029190504,44423,1587,1034,78200,48,029,190504,2013
421,1400000US48029190603,40645,1822,1325,78800,48,029,190603,2013
422,1400000US48029191005,36136,1378,817,72000,48,029,191005,2013
423,1400000US48029191006,35650,4148,1988,69900,48,029,191006,2013
