,NAME,B19013_001E,state,place,year
238,"El Quiote CDP, Texas",-666666666,48,24013,2013
239,"El Rancho Vela CDP, Texas",73000,48,24015,2013
240,"El Socio CDP, Texas",7216,48,24055,2013
241,"Emerald Bay CDP, Texas",46806,48,24158,2013
242,"Eugenio Saenz CDP, Texas",50531,48,24738,2013
243,"Evergreen CDP, Texas",-666666666,48,24894,2013
244,"Fabrica CDP, Texas",20625,48,25038,2013
245,"Falconaire CDP, Texas",-666666666,48,25338,2013
246,"Falman CDP, Texas",48077,48,25397,2013
247,"Fernando Salinas CDP, Texas",-666666666,48,25744,2013
248,"Flor del Rio CDP, Texas",-666666666,48,26130,2013
249,"Fannett CDP, Texas",90341,48,25404,2013
250,"Fort Clark Springs CDP, Texas",32730,48,26680,2013
251,"Four Points CDP, Texas",-666666666,48,27124,2013
252,"Fronton Ranchettes CDP, Texas",50000,48,27748,2013
253,"Garciasville CDP, Texas",-666666666,48,28152,2013
254,"Gail CDP, Texas",71250,48,27972,2013
255,"Garza-Salinas II CDP, Texas",37750,48,29114,2013
256,"Guadalupe-Guerra CDP, Texas",-666666666,48,31442,2013
257,"Guthrie CDP, Texas",65417,48,31640,2013
258,"Gutierrez CDP, Texas",-666666666,48,31646,2013
259,"Hargill CDP, Texas",22500,48,32300,2013
260,"H. Cuellar Estates CDP, Texas",-666666666,48,32910,2013
261,"Hillside Acres CDP, Texas",-666666666,48,34105,2013
262,"Hilltop CDP (Frio County), Texas",177546,48,34130,2013
263,"Hilltop CDP (Starr County), Texas",-666666666,48,34133,2013
264,"Hilltop Lakes CDP, Texas",53056,48,34136,2013
265,"Garden City CDP, Texas",71944,48,28176,2013
266,"Glidden CDP, Texas",47391,48,29912,2013
267,"Holiday Beach CDP, Texas",30217,48,34478,2013
268,"Holly Lake Ranch CDP, Texas",50034,48,34586,2013
269,"Horseshoe Bend CDP, Texas",39479,48,34865,2013
270,"Iglesia Antigua CDP, Texas",30556,48,35754,2013
271,"Hornsby Bend CDP, Texas",51377,48,34856,2013
272,"Hull CDP, Texas",34853,48,35324,2013
273,"Iago CDP, Texas",102292,48,35684,2013
274,"Indian Springs CDP, Texas",31359,48,35954,2013
275,"Indio CDP, Texas",-666666666,48,35966,2013
276,"Jardin de San Julian CDP, Texas",-666666666,48,37390,2013
277,"JF Villarreal CDP, Texas",-666666666,48,37665,2013
278,"Ivanhoe city, Texas",38611,48,37112,2013
279,"Juarez CDP, Texas",16042,48,38168,2013
280,"Kemp city, Texas",37153,48,38788,2013
281,"Asherton city, Texas",28386,48,04300,2013
282,"West Columbia city, Texas",36830,48,77416,2013
283,"Frankston town, Texas",48068,48,27300,2013
284,"Haskell city, Texas",37721,48,32696,2013
285,"Rochester town, Texas",25417,48,62636,2013
286,"Midland city, Texas",62665,48,48072,2013
287,"Iraan city, Texas",68177,48,36128,2013
288,"Emory city, Texas",25640,48,24216,2013
289,"Rotan city, Texas",33448,48,63464,2013
290,"Hale Center city, Texas",32976,48,31820,2013
291,"Floydada city, Texas",33862,48,26268,2013
292,"Gordon city, Texas",33214,48,30272,2013
293,"Midlothian city, Texas",70010,48,48096,2013
294,"Mauriceville CDP, Texas",66058,48,47100,2013
295,"West Orange city, Texas",38805,48,77752,2013
296,"Strawn city, Texas",40000,48,70580,2013
297,"Bayside town, Texas",45114,48,06104,2013
298,"Hempstead city, Texas",35842,48,33200,2013
299,"Monahans city, Texas",39278,48,48936,2013
300,"Briaroaks city, Texas",89444,48,10216,2013
301,"Cross Timber town, Texas",85313,48,17917,2013
302,"Avery town, Texas",31300,48,05072,2013
303,"Eagle Pass city, Texas",33646,48,21892,2013
304,"Blessing CDP, Texas",20685,48,08668,2013
305,"Powell town, Texas",28333,48,59168,2013
306,"Annona town, Texas",29250,48,03360,2013
307,"Pyote town, Texas",55179,48,59996,2013
308,"Cameron Park CDP, Texas",25284,48,12045,2013
309,"Combes town, Texas",34609,48,16204,2013
310,"Laguna Vista town, Texas",51667,48,40336,2013
311,"San Pedro CDP, Texas",16188,48,65620,2013
312,"Cleveland city, Texas",27213,48,15436,2013
313,"Bells town, Texas",50893,48,07420,2013
314,"Collinsville town, Texas",49643,48,16036,2013
315,"Denison city, Texas",36305,48,19900,2013
316,"Howe town, Texas",45417,48,35084,2013
317,"Tom Bean city, Texas",50268,48,73328,2013
318,"Ransom Canyon town, Texas",102500,48,60672,2013
319,"Wolfforth city, Texas",59671,48,79972,2013
320,"Anna city, Texas",68297,48,03300,2013
321,"Farmersville city, Texas",45819,48,25488,2013
322,"Lowry Crossing city, Texas",84875,48,44308,2013
323,"Retreat town, Texas",61250,48,61616,2013
324,"Barry city, Texas",41250,48,05708,2013
325,"Dawson town, Texas",29519,48,19420,2013
